ID_CLIENTE VALOR_PAGO HORAPAGO FECHAPAGO
667858938 46054.12 17:51:10 27-6-2016
798395644 91161.0 13:39:33 16-4-2016
116301342 79424.4 10:21:35 25-7-2016
448170058 34775.1 11:6:27 8-5-2016
402755145 77644.5 19:20:21 9-6-2016
36272816 32852.1 15:33:17 26-4-2016
584542546 22092.67 17:28:28 12-6-2016
982979761 39484.5 14:19:37 28-4-2016
774770034 39284.33 13:42:20 25-5-2016
372101277 39087.0 8:44:43 6-8-2016
192466367 57337.8 19:47:33 17-8-2016
263344609 26277.6 12:40:20 14-7-2016
104487583 91535.0 10:49:47 6-4-2016
988711785 24217.5 8:41:36 3-5-2016
540039024 37182.38 13:24:21 29-4-2016
620751123 32161.0 20:32:37 13-6-2016
729715582 45273.43 15:26:30 31-4-2016
759687092 48612.0 17:54:27 26-6-2016
995428027 23497.09 8:44:13 14-6-2016
486405893 23627.73 15:42:41 2-4-2016
504825762 108606.0 20:34:49 26-4-2016
537393749 61136.4 17:29:2 30-7-2016
54259237 35466.75 10:43:30 14-5-2016
411650789 51805.2 13:2:14 26-7-2016
982979761 39484.5 7:47:46 20-5-2016
341945624 42703.12 12:59:19 29-7-2016
79363998 139782.0 16:2:4 31-4-2016
732038119 34945.5 9:42:4 25-7-2016
924635414 56673.5 14:4:45 16-6-2016
179466460 59594.0 12:48:51 30-5-2016
256818021 57971.4 11:52:14 18-6-2016
507007420 23092.0 7:53:41 18-7-2016
282492515 24111.75 21:35:45 14-5-2016
923939346 251775.0 17:41:46 27-6-2016
108517504 100540.0 7:36:35 22-5-2016
20984665 39406.29 18:25:52 31-4-2016
437624957 404958.0 14:32:33 1-8-2016
780077761 36803.67 9:18:22 17-5-2016
794618540 36772.12 18:28:14 31-4-2016
598242496 24948.9 21:46:56 13-5-2016
567199960 27711.0 18:23:30 8-8-2016
816234555 112044.0 20:46:58 30-8-2016
736072241 96054.0 7:7:14 19-6-2016
907112592 24267.55 17:4:9 9-5-2016
11468720 61165.0 15:19:7 14-5-2016
67919554 50649.6 20:37:49 16-4-2016
652567610 74795.25 15:20:27 20-7-2016
18415605 22057.12 9:53:26 27-8-2016
880634370 80852.4 16:28:12 11-8-2016
19921541 37912.71 19:27:38 16-6-2016
819498998 44761.0 16:9:57 1-5-2016
930016604 354396.0 8:43:57 28-5-2016
129543927 33675.75 19:45:50 17-7-2016
435518953 166057.5 16:31:55 16-7-2016
264533025 372024.0 18:32:4 15-6-2016
916853305 77846.0 17:59:42 12-7-2016
427968857 63735.0 21:34:12 8-5-2016
641552758 38434.12 21:58:51 15-5-2016
852376705 75296.0 21:10:36 30-5-2016
537169150 39189.5 18:9:24 19-7-2016
282492515 24111.75 14:45:51 25-6-2016
74662918 108516.0 16:28:39 8-6-2016
40096693 173280.0 10:42:40 29-8-2016
630694025 42808.29 12:5:9 21-7-2016
714724048 44854.71 12:26:35 1-5-2016
906479030 76211.25 19:0:57 3-7-2016
935981990 46598.62 15:27:19 2-6-2016
295826813 53845.8 16:36:16 25-7-2016
646724574 43497.5 10:52:40 28-5-2016
439424999 112185.0 14:12:3 18-7-2016
565427280 129529.5 19:29:40 11-8-2016
337696452 22807.25 11:0:56 11-8-2016
168379389 121712.0 13:33:24 9-5-2016
75991501 41749.29 14:58:45 12-5-2016
558836795 34728.33 12:4:31 1-5-2016
921740715 41642.33 8:18:10 6-4-2016
568719132 42874.67 16:11:49 21-4-2016
342716648 34556.62 9:46:47 3-5-2016
