ID_PRODUCTOS,NOMBRE_PRODUCTO,MARCA,PRESENTACION,PRECIO DESCTO%
3756,Aceite De Girasol,Legítimo,900 CC,1971,23
8193,Pañales Descartables Para Bebes,Baby Sec,24 UN,13407,22
5122,Lavandina Concentrada,Querubín,1 Lt,1377,28
7171,Tapa De Asado,Sin Marca (Supermercado),1 KG,12600,31
5125,Dulce De Leche Entero Clásico,La Serenísima,400 GR,3630,2
5126,Algodón,Estrella,75 GR,1830,18
7176,Pañales Descartables Para Bebes,Baby Sec,36 UN,13407,12
3593,Sal Fina,Dos Anclas,500 GR,1275,32
9738,Huevos Blancos,Sin Marca (Supermercado),6 UN,2565,14
5643,Salchichon Con Jamon,Paladini,1 KG,11970,4
8720,Lentejas Secas Remojadas,La Campagnola,300 GR,3387,9
4625,Mayonesa Común,Ri-K May Doyp,485 GR,2370,2
8793,Limpiador,Cif,375 GR,2097,25
8220,Helado,Torpedo,63 GR,9111,31
7197,Pañales Descartables Para Bebes,Baby Sec,36 UN,13407,5
7198,Fideos Secos Tipo Tallarín,Pastas Canale,500 GR,1950,5
3105,Queso Crema Entero,Mendicrim,300 GR,5100,7
6179,Salchichon Con Jamon,Paladini,1 KG,11550,18
1573,Fideos Secos Tipo Tallarín,Favorita,500 GR,2100,17
5158,Tapas Para Empanadas,La Salteña,20 UN,4530,19
2601,Aceite De Girasol,Cocinero,1500 CC,3606,15
7724,Jamon Cocido,Sin Marca (Supermercado),1 KG,27000,35
9266,Postre Niño,Shimy,120 GR,1590,14
1589,Jabon En Polvo Para Lavarropas Baja Espuma,Querubín,800 GR,2820,24
7737,Lavandina Comun,Ayudín,1 Lt,1551,3
6206,Galletitas Dulces Envasadas Secas Sin Relleno,Boca De Dama,160 GR,1860,4
2111,Aceite De Girasol,Natura,900 CC,2280,34
7691,Crema Uat,Sancor,250 CC,2700,24
7236,Vinagre,Dos Anclas,500 ML,1440,9
8545,Aceite Mezcla,Cada Día,900 CC,2280,27
2633,Toallas Femeninas Normal Con Alas,Lady Soft,8 UN,1617,16
6731,Pan Mignon,Sin Marca (Supermercado),1 KG,5550,30
5199,Medallon Carne Vacuna Congelada,Swift,4 UN,5640,13
6736,Leche Entera Larga Vida U A T,Milkaut,1 Lt,2508,6
6226,Autobrillo,Suiza,899 CC,5970,1
3155,Leche Comun Entera,Sancor,1 Lt,2070,12
7095,Pañales Descartables Para Bebes,Baby Sec,24 UN,13407,20
9815,Tomate Perita En Lata,Alco,400 GR,2100,1
4185,Yogur Descremado Con Copos,Ser,174 GR,2550,19
9819,Autobrillo,Suiza,900 CC,5970,7
4190,Aceite Mezcla,Bella Flor,900 CC,1956,34
6753,Cuaderno Escolar Nro 3 Forrado Universo,Gloria,48 HOJAS,4350,5
3171,Pañales Descartables Para Bebes,Baby Sec,30 UN,13407,34
9317,Tapa De Nalga,Sin Marca (Supermercado),1 KG,13200,7
1297,Te Común,Taragüí,25 UN,1275,23
1641,Gaseosa Cola,Coca Cola,15 LT,3750,24
5226,Manzana,Sin Marca (Supermercado),1 KG,3270,13
2669,Yerba Mate Con Palo,Amanda,1 KG,8100,0
6256,Cuaderno Escolar Nro 3,Gloria,48 HOJAS,1650,1
8869,Azucar Blanca,Chango,1 KG,2190,14
4211,Desodorante En Aerosol Femenino,Plusbelle,113 GR,5190,20
5237,Harina De Trigo Comun 000,Favorita,1 KG,2181,1
5239,Detergente Liquido Para Vajilla,Ala,750 ML,2655,3
4221,Jabon En Pan,Zorro,150 GR,1260,3
7294,Arroz,Gallo,500 GR,3870,27
2689,Jugo Sin Diluir,Baggio,200 ML,870,33
9858,Pan Rallado Comun,Preferido,500 GR,3270,0
3207,Yerba Mate Con Palo,Unión,500 GR,4800,12
7305,Te Común,La Morenita,25 UN,1320,9
7306,Desodorante Masculino,Rexona,50 ML,4500,28
4235,Cuadrada,Sin Marca (Supermercado),1 KG,14700,31
2188,Batata,Sin Marca (Supermercado),1 KG,2073,35
4749,Galletitas De Agua Comunes Envasadas,Media Tarde,110 GR,1452,18
7107,Dulce De Batata,Canale,700 GR,9300,13
1172,Jugo Concentrado,Mocoretá,1.5 LT,2250,17
3223,Lechuga,Sin Marca (Supermercado),1 KG,3300,19
7319,Autobrillo,Suiza,898 CC,5970,2
7325,Caldo,Wilde,114 GR,2370,4
3746,Lentejas Secas Remojadas,Inalpa,350 GR,2625,23
8355,Papel Higienico Hoja Simple,Higienol,50 MTRS,3822,3
9655,Sal Gruesa,Celusal,1 KG,1635,12
2588,Polvo De Lavado,Granby,800 GR,3900,21
8874,Pañales Descartables Para Bebes Cant. Extra Grande,Pampers Babysan,44 UN,30000,17
2220,Carne Picada,Sin Marca (Supermercado),1 KG,7800,20
4271,Queso Cremoso,Sin Marca (Supermercado),1 KG,13500,35
9904,Jabon En Polvo Para Lavarropas Baja Espuma,Ace,800 GR,4362,13
5811,Azucar Blanca,Ledesma,1 KG,2190,3
5301,Limpiador Desengrasante,Mr. Músculo,500 ML,1317,19
5307,Tomate Redondo,Sin Marca (Supermercado),1 KG,3150,3
3467,Aceite Mezcla,Ideal,1500 CC,3606,19
5824,Postre Niño,Danonino,161 GR,2385,33
1218,Manteca,La Serenísima,200 GR,3450,19
8771,Arroz Largo Fino 00000,Molinos Ala,500 GR,1440,35
6340,Pure De Tomate,Alco,520 GR,1590,4
3782,Tomate Perita En Lata,Noel,400 GR,1605,14
8391,Queso Rallado,La Serenísima,120 GR,5550,35
1742,Soda,Sierra De Los Padres,2.25 LT,2115,25
6863,Sal Fina,Celusal,500 GR,1500,33
6865,Gaseosa Lima Limón,Seven Up,1.5 LT,3750,18
