ID_CLIENTES ID_PRODUCTO HORACOMPRA FECHACOMPRA
677387640 1864 9:55:54 27-7-2016
577887086 6622 12:39:11 22-7-2016
792186887 2259 15:51:46 14-6-2016
557012457 5916 13:46:46 5-7-2016
928123820 1864 18:25:18 1-6-2016
686645356 7325 10:21:39 8-7-2016
907112592 3797 7:37:37 1-8-2016
886390481 3351 7:8:53 29-4-2016
294903465 8355 15:20:5 19-4-2016
522781145 9819 18:3:10 18-8-2016
983926536 2259 16:44:29 22-6-2016
762921312 6340 21:32:32 31-4-2016
313673816 3903 20:31:44 3-7-2016
15143964 2111 20:58:35 18-5-2016
941001255 6736 12:45:40 17-5-2016
966043795 5226 8:38:16 21-5-2016
850983377 4749 10:14:5 24-4-2016
863154562 3903 10:20:53 9-6-2016
943871305 7737 8:50:21 7-8-2016
995428027 5597 8:4:52 23-7-2016
916853305 2633 13:29:45 29-5-2016
584542546 6879 17:28:13 7-7-2016
897781123 7894 21:49:55 21-8-2016
437624957 9819 17:58:11 21-7-2016
121899525 6567 17:28:47 31-4-2016
537393749 7691 19:46:19 17-8-2016
929987158 7395 16:1:35 13-4-2016
624467998 5126 13:15:10 27-6-2016
544015698 8193 10:11:6 28-7-2016
197218548 7243 10:9:32 13-8-2016
996623439 5237 20:25:16 20-5-2016
598601133 8638 15:24:37 14-6-2016
460316416 5983 13:41:15 23-5-2016
352946993 1493 12:57:44 12-5-2016
67919554 2188 11:2:33 12-4-2016
558836795 3478 14:27:48 16-8-2016
550849424 6497 7:58:43 11-7-2016
197218548 6736 18:39:38 26-8-2016
764871238 8977 12:25:37 11-4-2016
252166373 8638 16:48:54 19-4-2016
935981990 4190 11:43:16 3-5-2016
858493317 7236 13:44:12 16-6-2016
977446763 4190 20:40:36 15-7-2016
816234555 1297 11:56:16 16-4-2016
633115998 9016 12:23:2 19-5-2016
302318452 2885 20:14:30 9-5-2016
465819686 9131 15:58:3 21-7-2016
900172677 9858 17:39:2 25-7-2016
197218548 6863 12:17:12 18-6-2016
262249447 3815 12:59:58 14-6-2016
565427280 3207 10:32:34 8-6-2016
460868759 3207 18:58:47 23-4-2016
640440716 4329 7:7:21 14-8-2016
296913860 1503 18:27:46 13-4-2016
816234555 3152 21:49:38 17-5-2016
315516892 3902 12:24:17 2-7-2016
272372549 6879 13:35:43 26-5-2016
427968857 4329 16:56:56 15-4-2016
135929715 5122 10:20:48 17-8-2016
442566640 1641 10:30:20 1-8-2016
609266062 6497 9:27:57 15-5-2016
589137258 2689 16:56:36 15-7-2016
983926536 3979 8:21:43 9-4-2016
770467586 9555 11:26:7 28-8-2016
359887841 5126 17:33:47 25-8-2016
548441076 5846 21:12:41 29-7-2016
157003269 1455 12:8:30 27-6-2016
716011114 3055 21:56:23 23-7-2016
380596688 8391 20:28:39 15-4-2016
544099704 3797 10:50:34 2-7-2016
356515542 4481 15:40:52 3-5-2016
850983377 8193 20:16:40 22-4-2016
447667670 2885 10:1:47 24-6-2016
768978534 7294 15:31:39 13-4-2016
229606785 1589 8:42:50 15-7-2016
920985775 3903 15:46:32 21-6-2016
537393749 7737 8:9:41 7-8-2016
845999139 9016 15:24:4 13-7-2016
895804797 1247 15:35:31 14-7-2016
295826813 3478 14:55:45 24-4-2016
916853305 7171 10:51:45 29-4-2016
948589048 1995 11:36:25 22-4-2016
256818021 3478 19:47:55 21-6-2016
409175985 4846 13:42:4 31-8-2016
2743878 4329 14:32:58 30-6-2016
263344609 5983 8:53:15 19-5-2016
616830009 5126 21:20:2 9-8-2016
550849424 6879 8:25:54 21-8-2016
93906401 8084 13:31:54 5-6-2016
82341547 4544 8:14:35 14-8-2016
759687092 8869 11:56:18 29-4-2016
898198206 1247 20:17:37 10-7-2016
84672662 7897 11:9:6 19-8-2016
706930802 1493 21:33:40 4-5-2016
518024185 6109 17:55:22 13-5-2016
158397838 2669 13:18:40 30-5-2016
746181993 3467 9:5:40 30-4-2016
681162567 4883 10:10:8 16-5-2016
861624892 2885 11:15:38 23-4-2016
111578518 8469 9:27:4 29-5-2016
907112592 2188 19:32:56 12-6-2016
409175985 7198 14:55:38 1-6-2016
45085409 5307 10:57:48 21-4-2016
777909525 7057 8:48:10 13-5-2016
349003500 3135 13:17:53 5-6-2016
958232470 9655 11:4:43 24-6-2016
55682784 7096 21:17:19 30-4-2016
157003269 5307 11:51:41 4-4-2016
624467998 9819 17:11:28 1-8-2016
347003257 1257 7:7:23 15-4-2016
672993275 6561 20:53:12 20-8-2016
75991501 5191 20:57:34 4-5-2016
925793987 8869 20:46:58 29-8-2016
837605868 7894 17:46:6 28-8-2016
263344609 6070 13:1:18 8-5-2016
